"name","area","WDPAid","patchRichness","nPatches","stddev_WC","mean_WC","analysis_scale","shortName","fullName","country","latitude","longitude","Notes","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.bodymass","CWM.Vertebrate","CWM.Invertebrate","CWM.Fish","CWM.Seed","CWM.Fruit","CWM.Root","CWM.Woody","CWM.Herbaceous","CWM.Nectar","CWM.aquatic","CWM.terrestrial","CWM.fossorial","CWM.arboreal","nLocomotor","nTrophic"
"Massif du Ziama",918.655546737231,29066,7,82,0.0240968706789303,0.807495411140017,1000,"Massif du Ziama","Massif du Ziama Nature Reserve","Guinea",8.3,-9.36,"",48,48,6.74364646646571e-05,0.245927495326894,0.834740093845451,0.647798057272264,0.195144938824852,0.0408959553214824,23911.531875,2.6304347826087,2.71739130434783,3.84782608695652,3.65217391304348,2.28260869565217,3.69565217391304,3.21739130434783,3.5,4,0,1,0,0,5,11
"Bahr Salamat",21293.2320330112,5164,8,2670,0.0571365566005204,0.375516068285728,1000,"Bahr Salamat","Bahr Salamat Faunal Reserve","Chad",10.59,19.42,"",46,46,1.58250756816341e-06,0.245927495326894,0.921388742696428,0.668294236714074,0.163850857496105,0.0307055699051734,74725.7745108696,2.66666666666667,3,3.77777777777778,3.8,3.13333333333333,3.88888888888889,3.31111111111111,3.06666666666667,4,0,1,0,0,5,15
"Abou Telfane",1086.90997171352,9034,4,172,0.068920656622127,0.357438713201454,1000,"Abou Telfance","Abou Telfance Faunal Reserve","Chad",12.1,18.88,"",32,32,2.10986619449632e-08,0.245927495326894,0.893943502918942,0.669264768355139,0.161967878731606,0.0289159493203437,76900.494296875,2.64516129032258,3.03225806451613,3.80645161290323,3.80645161290323,3.19354838709677,3.83870967741935,3.25806451612903,3.06451612903226,4,0,1,0,0,3,14
"Mount Nimba",146.235689350114,29067,5,36,0.107818824649338,0.771520193754999,1000,"Mount Nimba","Mount Nimba","Guinea",7.6,-8.3,"",31,31,5.3565685600627e-05,0.245927495326894,0.896829944221051,0.655994031091495,0.216400802376716,0.0504606782901745,36214.57,2.74074074074074,2.66666666666667,3.74074074074074,3.62962962962963,1.77777777777778,3.59259259259259,3.11111111111111,3.33333333333333,4,0,1,0,0,5,13
"Mount Nimba",146.235689350114,29067,5,36,0.107818824649338,0.771520193754999,1000,"Mt Nimba Strice NR","Mount Nimba Strict National Reserve","Guinea",7.4,-8.23,"",51,51,7.63727524834595e-05,0.245927495326894,0.824785986494754,0.651113450923453,0.195875559063606,0.0412592513597844,54217.9139215686,2.59183673469388,2.81632653061224,3.85714285714286,3.6734693877551,2.28571428571429,3.71428571428571,3.14285714285714,3.3469387755102,4,0,1,0,0,5,13
"Kourtiagou",438.007831799519,3226,4,59,0.0626956109346069,0.220785103208029,1000,"Kourtiagou","Kourtiagou Partial Forest Reserve","Burkina Faso",11.55,1.95,"",43,43,2.06514664272065e-06,0.245927495326894,0.915822997758426,0.660922516288492,0.168709813892749,0.0327256826540069,140834.653895349,2.5952380952381,2.97619047619048,3.83333333333333,3.78571428571429,3.11904761904762,3.80952380952381,3.26190476190476,2.92857142857143,4,0,1,0,0,4,15
"Pama",2340.91524855995,3228,5,246,0.0570257151131138,0.216359596951808,1000,"Pama","Pama Partilal Faunal Reserve","Burkina Faso",11.4,0.82,"",42,42,2.04559692410037e-06,0.245927495326894,0.913837779995687,0.656007240805123,0.166935199735509,0.0315249087208471,89182.3951785714,2.63414634146341,2.95121951219512,3.82926829268293,3.78048780487805,3.17073170731707,3.8780487804878,3.31707317073171,2.90243902439024,4,0,1,0,0,4,15
"Sahel",18220.047721804,3225,8,1404,0.0198093233034572,0.0124586254046042,1000,"Sahel ","Sahel Partial Faunal Reserve","Burkina Faso",14.54,-0.64,"",27,27,9.07361081150716e-08,0.245927495326894,0.920088462046415,0.675871724696034,0.159222197668207,0.0302351031621167,18884.5721296296,2.48148148148148,2.88888888888889,3.77777777777778,3.77777777777778,2.96296296296296,3.81481481481481,3.34615384615385,3.42307692307692,4,0,1,0,0,4,10
"Integral Nature Reserve and the Luando",8771.82686895232,3066,8,1580,0.108830451688963,0.62071418313975,1000,"Luando","Luando National Park","Angola",-10.5982486,17.0067031,"double check this one",56,56,5.92907254236011e-05,0.245927495326894,0.897725577235075,0.645495555804424,0.173519752285012,0.0350930345168584,129228.428883929,2.56603773584906,2.84905660377358,3.81132075471698,3.79245283018868,3.09433962264151,3.75471698113208,3.30188679245283,3.20754716981132,4,0,1,0,0,5,16
"Salonga",33517.3375087849,478292,2,323,0.0147319057746287,0.86438508716285,1000,"Salonga NP","Salonga National Park","Congo, Democratic Republic of",-2.36,20.97,"two options, 10906 or 478292",49,49,0.000134385244555987,0.245927495326894,0.831674595846161,0.670012363175933,0.199703923585164,0.0433984987634245,113212.701496599,2.59574468085106,2.68085106382979,3.80851063829787,3.51063829787234,2.21276595744681,3.72340425531915,3.29787234042553,3.53191489361702,4,0,1,0,0,5,12
"Benoué",1672.71905691748,3011,7,252,0.0871969926517628,0.41030718807912,1000,"Benoue NP","Benoue National Park","Cameroon",8.36,13.82,"",49,49,2.05052296605949e-05,0.245927495326894,0.930723771493346,0.63747510061848,0.172210757359064,0.033518968959245,158016.020459184,2.59574468085106,2.95744680851064,3.78723404255319,3.80851063829787,2.95744680851064,3.76595744680851,3.27659574468085,3.1063829787234,4,0,1,0,0,5,15
"Tassili N'Ajjer",99109.4396900303,20389,6,382,NA,NA,1000,"Tassili N'Ajjer NP","Tassili N'Ajjer National Park","Algeria",24.64,9.7,"two options, 4999 or 20389 ",17,17,2.38088358760195e-08,0.245927495326894,0.933476600172277,0.654501554615384,0.120685904766962,0.0185434055370727,26991.0823529412,2.29411764705882,3.17647058823529,3.82352941176471,4,3.52941176470588,4,3.26666666666667,3.06666666666667,4,0,1,0,0,2,8
"Okavango Delta",20505.4728414007,555577555,10,2458,0.0723195031075852,0.472463243472539,1000,"Okavango","Okavango Delta","Botswana",-19.5,22.7,"",63,63,2.26948723728635e-07,0.245927495326894,0.871599052089652,0.673754903998268,0.172228604033836,0.0330205094111817,208511.576984127,2.63934426229508,2.81967213114754,3.85245901639344,3.73770491803279,3.13114754098361,3.68852459016393,3.40983606557377,3.11475409836066,4,0,1,0,0,4,16
"Garamba National Park",5150.94940610021,4327,7,1081,0.106340234418998,0.504931467746236,1000,"Garamba NP","Garamba National Park","Congo, Democratic Republic of",4.19,29.48,"",68,68,0.000219740514617671,0.245927495326894,0.919348727836837,0.673102254716804,0.1882079934021,0.0395920215594961,157409.464742647,2.90909090909091,2.92424242424242,3.8030303030303,3.68181818181818,2.75757575757576,3.71212121212121,3.18181818181818,3.18181818181818,4,0,1,0,0,5,17
"Simien National Park",132.318772314026,2006,8,72,0.118260134884946,0.552012268073162,1000,"Simien Mountain NP","Simien Mountain National Park","Ethiopia",13.11,38.04,"two options, 2006 or 653",22,22,4.26833501718769e-07,0.245927495326894,0.936144510379665,0.619250903113727,0.17187113027417,0.0334734062866942,29404.0422727273,2.54545454545455,3.22727272727273,3.72727272727273,3.72727272727273,3.22727272727273,3.63636363636364,3.04545454545455,3.27272727272727,4,0,1,0,0,4,10
"Parc National du Diawling",662.128743508618,95349,7,142,NA,NA,1000,"Diawling NP","Diawling National Park","Mauritania",16.31,-16.4,"",25,25,2.41963386552329e-07,0.245927495326894,0.956758005763335,0.686394996978967,0.160828966055412,0.0306553468706638,14879.0739,2.36,2.44,3.96,3.76,3.04,3.8,3.44,3.4,4,0,1,0,0,4,11
"Lake Chilwa",2117.04199244709,145538,9,189,0.0966453245774196,0.422870756249783,1000,"Lake Chilwa Wetlands","Lake Chilwa Wetlands","Malawi",-15.16,35.41,"",54,54,2.10197120564118e-05,0.245927495326894,0.920679400881508,0.659342923573974,0.170018648065695,0.0333168543420693,86406.5258796296,2.55769230769231,2.73076923076923,3.86538461538462,3.80769230769231,3.01923076923077,3.82692307692308,3.23076923076923,3.34615384615385,3.94230769230769,0,1,0,0,5,17
"Lake Chad Wetlands in Nigeria",6060.60999248206,903113,7,474,0.156653528732717,0.377132725388006,1000,"Lake Chad","Lake Chad Game Reserve","Nigeria",13,13.5,"",29,29,1.74977250962534e-07,0.245927495326894,0.926133256816928,0.675286094616054,0.179650378914496,0.0397278154216216,209400.203103448,2.3448275862069,2.93103448275862,3.86206896551724,3.58620689655172,3.06896551724138,3.79310344827586,3.32142857142857,3.03571428571429,4,0,1,0,0,4,11
"Lac Fitri",2034.1211834414,30017,9,333,0.110590279049368,0.266071332612591,1000,"Lac Fitri","Lac Fitri (Wetlands of International Importance)","Morocco",12.79,17.44,"",25,25,1.74307404936647e-08,0.245927495326894,0.862760996787827,0.720635592328263,0.162326451811182,0.0318181762568628,179817.9235,2.5,3.125,3.875,3.75,3.16666666666667,3.75,3.41666666666667,3.125,4,0,1,0,0,3,10
"Bangweulu Swamps",3198.2880669166,68323,8,340,0.10895787948012,0.479683103737529,1000,"Bangweulu Swamps","Bangweulu Swamps","Zambia",-11.53,30.72,"",57,57,1.8822656213253e-05,0.245927495326894,0.911193725606544,0.654174518835868,0.173510400477169,0.0336799769907908,91118.7529385965,2.75925925925926,2.94444444444444,3.81481481481481,3.7962962962963,3.14814814814815,3.77777777777778,3.2037037037037,3.03703703703704,4,0,1,0,0,5,17
"Lac Oubeira",26.1069218787165,17706,4,14,NA,NA,1000,"Lac Oubeira","Lac Oubeira","Algeria",36.84,8.39,"",13,13,1.99807721056261e-08,0.245927495326894,0.991844324795964,0.668935192872805,0.156389186930946,0.0285305195871534,15510.8469230769,2.23076923076923,2.53846153846154,3.46153846153846,3.76923076923077,2.76923076923077,3.53846153846154,3.83333333333333,3.58333333333333,4,0,1,0,0,3,8
"Lac Tonga",25.2414426279865,67756,5,14,NA,NA,1000,"Lac Tonga","Lac Tonga","Algeria",36.86,8.5,"",11,11,1.16195424524275e-08,0.245927495326894,0.989434158389083,0.691974841977374,0.165567296409512,0.0311865693196636,14983.1209090909,2.45454545454545,2.63636363636364,3.36363636363636,3.72727272727273,2.90909090909091,3.45454545454545,3.8,3.5,4,0,1,0,0,3,7
"Lake Qarun Protected Area",1341.17197030357,555547984,4,44,NA,NA,1000,"Qarun Lake NR","Qarun Lake National Reserve","Egypt",29.56,30.61,"",14,14,5.50466375203361e-09,0.245927495326894,0.943606788229136,0.693619000058025,0.126883879109449,0.019944732602147,10028.0107142857,2.42857142857143,3.07142857142857,3.78571428571429,4,3.21428571428571,3.78571428571429,3.58333333333333,3.33333333333333,4,0,1,0,0,2,9
"Lac d’Afennourir",10.1247850977558,17712,4,11,NA,NA,1000,"Lac d'Afennourir","Lac d'Afennourir","Morocco",33.33,-5.17,"",12,12,1.26885786577214e-08,0.245927495326894,0.900001457364501,0.654720015998509,0.161295682433245,0.0298629561103192,14927.1825,2.41666666666667,2.66666666666667,3.66666666666667,3.75,2.58333333333333,3.5,3.81818181818182,3.81818181818182,4,0,1,0,0,3,7
"Conkouati-Douli",5156.98331439062,313401,9,357,0.106456482175204,0.622318343970828,1000,"Conkouati-Douli NP","Conkouati-Douli National Park","Congo, Democratic Republic of",-3.9,11.45,"",48,48,3.91460833263463e-05,0.245927495326894,0.882168556330913,0.652767335556656,0.196139994853753,0.0421045507385384,114056.174270833,2.60869565217391,2.89130434782609,3.8695652173913,3.60869565217391,2.30434782608696,3.69565217391304,3.17391304347826,3.21739130434783,4,0,1,0,0,5,14
"Nouabalé-Ndoki",4106.79884281496,72332,1,60,0.0277816575216733,0.856186402365206,1000,"Nouabale-Ndoki NP","Nouabale-Ndoki National Park","Congo, Democratic Republic of",2.52,16.6,"",47,47,0.000107434619294497,0.245927495326894,0.823150302618672,0.673029674609794,0.201479820964056,0.0443657099351982,118462.375,2.77777777777778,2.91111111111111,3.86666666666667,3.62222222222222,2.06666666666667,3.64444444444444,3.26666666666667,3.31111111111111,4,0,1,0,0,5,14
"Lac Télé",4531.46661230057,313494,7,276,0.101179029524584,0.796070350924256,1000,"Lac Tele","Lac Tele Community Reserve","Congo, Democratic Republic of",1.1,17.26,"",47,47,8.71040561897074e-05,0.245927495326894,0.801614380825361,0.673932978747112,0.199831883805574,0.0439323637571714,118510.040106383,2.77777777777778,2.91111111111111,3.86666666666667,3.62222222222222,2.06666666666667,3.64444444444444,3.26666666666667,3.37777777777778,4,0,1,0,0,5,13
"Odzala Kokoua",13664.5723078619,643,5,281,0.0487471341604153,0.84162364359441,1000,"Odzala-Koukoua NP","Odzala-Koukoua National Park","Congo, Democratic Republic of",0.89,14.88,"",51,51,6.99337872287328e-05,0.245927495326894,0.849130496125126,0.666003418472839,0.201892172378751,0.0444361234491943,113707.396078431,2.75510204081633,2.91836734693878,3.85714285714286,3.57142857142857,2.14285714285714,3.6530612244898,3.14285714285714,3.38775510204082,4,0,1,0,0,5,13
"Amboseli",389.139721275527,758,6,65,0.147839441020775,0.134112898784415,1000,"Amboseli","Amboseli National Park","Kenya",-2.6,37.5,"",47,47,1.00394556071967e-07,0.245927495326894,0.90641796799528,0.650618088619726,0.163241620442052,0.0295175668475603,225121.709787234,2.77777777777778,3.08888888888889,3.86666666666667,3.91111111111111,3.13333333333333,3.75555555555556,3.11111111111111,3.08888888888889,4,0,1,0,0,4,15
"Aberdare",774.677166530184,756,7,128,0.1266114272036,0.741519819586351,1000,"Aberdare","Aberdare National Park","Kenya",-0.38,36.7,"",44,44,6.42119536423801e-05,0.245927495326894,0.956989934898807,0.655083137053286,0.18414897007114,0.0377874402522848,166664.496590909,2.7906976744186,2.88372093023256,3.81395348837209,3.90697674418605,2.7906976744186,3.65116279069767,3,3.25581395348837,3.93023255813953,0,1,0,0,5,15
"Nairobi",116.826330445917,761,5,28,0.059103813632724,0.568746015749367,1000,"Nairobi","Nairobi National Park","Kenya",-1.3569641,36.8465564,"",55,55,1.69867523848727e-05,0.245927495326894,0.913845097803861,0.638048556135246,0.171494089947674,0.033569848158547,112876.668909091,2.74074074074074,2.92592592592593,3.85185185185185,3.85185185185185,3.11111111111111,3.83333333333333,3.25925925925926,3.25925925925926,3.94444444444444,0,1,0,0,5,16
"Lake Nakuru",191.211838075167,762,8,59,0.142973750728385,0.588759919257246,1000,"Nakuru","Lake Nakuru National Park","Kenya",-0.4,36.09,"",44,44,1.60257005990514e-05,0.245927495326894,0.914943646551235,0.636417229012717,0.177109876871132,0.0352058940159442,73861.1620454545,2.78571428571429,2.83333333333333,3.83333333333333,3.73809523809524,2.97619047619048,3.78571428571429,3.26190476190476,3.21428571428571,4,0,1,0,0,5,13
"Meru",878.845191725783,755,7,109,0.131443750059892,0.510427952912262,1000,"Meru NP","Meru National Park","Kenya",0.08,38.33,"",59,59,2.76345132186765e-05,0.245927495326894,0.933543877808769,0.643172326113645,0.176385318233371,0.035282772658337,219452.660508475,2.85964912280702,3.05263157894737,3.91228070175439,3.80701754385965,3.01754385964912,3.70175438596491,3.01754385964912,3.17543859649123,3.94736842105263,0,1,0,0,5,16
"Tsavo East",20550.1465539525,-999999,9,852,0.107075839969394,0.348279945317309,1000,"Tsavo","Tsavo ","Kenya",-3.03,38.33,"Combined polygons for west and east and used a fake number ",66,66,3.18966594479138e-05,0.245927495326894,0.928054180220501,0.646606910479156,0.17659008746356,0.0349373906296163,165743.021212121,2.68253968253968,2.88888888888889,3.87301587301587,3.77777777777778,2.98412698412698,3.73015873015873,3.12698412698413,3.22222222222222,3.95238095238095,0,1,0,0,5,16
"Masai Mara",1524.66034636007,1297,7,264,0.0359734268081007,0.614029910543154,1000,"Masai","Masai Mara","Kenya",-1.49,35.14,"",70,70,0.000113822218730434,0.245927495326894,0.906903116374386,0.654431525011615,0.179540770576723,0.0360713066474765,159499.192571429,2.82089552238806,3.02985074626866,3.85074626865672,3.77611940298508,2.76119402985075,3.71641791044776,3.13432835820896,3.04477611940298,3.95522388059702,0,1,0,0,5,17
"Samburu",159.792170775512,2298,3,35,0.0775912606695796,0.25578659921151,1000,"Samburu NR","Samburu Nature Reserve","Kenya",0.57,37.57,"",17,17,2.10925009599768e-10,0.245927495326894,0.981218774751456,0.608191256391372,0.128036443416402,0.0219541486872342,617905.911176471,3.41176470588235,3.94117647058824,4,3.82352941176471,3.35294117647059,3.70588235294118,2.29411764705882,2.41176470588235,4,0,1,0,0,3,10
"Arawale",630.021467140626,2423,3,15,0.0557171584810939,0.442406782520634,1000,"Arawale","Arawale National Reserve","Kenya",-1.43,40.15,"",25,25,3.75092806930992e-09,0.245927495326894,0.94553780809637,0.595623544128132,0.132459577098703,0.0186273020844901,347472.9204,2.80952380952381,3.66666666666667,4,3.85714285714286,3.38095238095238,3.66666666666667,2.42857142857143,3.28571428571429,4,0,1,0,0,3,11
"Tongwe",13.6366076064377,350014,3,7,0.0393541051059202,0.768807511679075,1000,"Tongwe","Tongwe National Park","Tanzania",-5.3,38.73,"",36,36,4.33530036960457e-07,0.245927495326894,0.922666096469449,0.623499407400097,0.168619477514023,0.0323196637587298,239236.162777778,3,3.41176470588235,4,3.79411764705882,2.79411764705882,3.52941176470588,3.11764705882353,2.79411764705882,4,0,1,0,0,5,17
"Golden Gate Highlands National Park",348.488446395834,879,2,37,0.0423045635793288,0.407218665829594,1000,"Golden Gate NP","Golden Gate National Park","South Africa",-28.3,28.4,"Highlands",32,32,3.25267999880806e-07,0.245927495326894,0.881681407689641,0.674608782747858,0.160374903382252,0.0280261528046264,68448.1834375,3.06666666666667,2.96666666666667,3.86666666666667,3.76666666666667,3.43333333333333,3.8,3.26666666666667,2.66666666666667,4,0,1,0,0,4,12
"Kruger National Park",19214.9813074498,873,10,1939,0.0764214323251711,0.398802786536047,1000,"Kruger","Kruger National Park","South Africa",-23.8214244,31.4456179,"",71,71,4.94323652190234e-05,0.245927495326894,0.91428719694037,0.646762289538197,0.172359205243778,0.0332294231838455,191908.213239437,2.85074626865672,2.97014925373134,3.85074626865672,3.83582089552239,3.14925373134328,3.77611940298507,3.11940298507463,3,3.95522388059701,0,1,0,0,5,18
"Cliff of Bandiagara (Land of the Dogons)",3326.69271689958,20171,6,313,0.0440513691537533,0.0561033533125263,1000,"Cliffs of Bandiagara","Cliffs of Bandiagara","Mali",14.41,-3.4,"",28,28,5.49353178114769e-08,0.245927495326894,0.923294032789198,0.716805929782748,0.166445429319256,0.0329372362142317,28982.6838392857,2.46428571428571,2.64285714285714,3.85714285714286,3.78571428571429,3.03571428571429,3.82142857142857,3.42857142857143,3.25,4,0,1,0,0,4,12
"Tsoulou",289.474206831833,2270,5,38,0.0890039648605232,0.427214545353397,1000,"Tsoulou","Tsoulou Faunal Reserve","Congo, Democratic Republic of",-3.62,12.46,"",41,41,2.42260728599492e-05,0.245927495326894,0.948752660175737,0.654190232524172,0.190809253266998,0.0403879975464448,36924.3431707317,2.58974358974359,2.64102564102564,3.82051282051282,3.64102564102564,2.46153846153846,3.71794871794872,3.48717948717949,3.53846153846154,4,0,1,0,0,5,14
"Mont Fouari",288.812468764174,555571319,5,63,0.0945836977683739,0.515570705249394,1000,"Mt Fouari FR","Mount Fouari Faunal Reserve","Congo, Democratic Republic of",-2.78,11.67,"",42,42,3.66326733400508e-05,0.245927495326894,0.938626847974812,0.641064010317007,0.198941669997693,0.042915872846337,72912.5955952381,2.6,2.825,3.85,3.65,2.35,3.725,3.35,3.25,4,0,1,0,0,5,13
"Kizigo G.R. (C)",5093.23244586632,7883,7,739,0.0581414148182624,0.391703809161315,1000,"Kizigo GR","Kizigo Game Reserve","Tanzania",-6.37,34.28,"",67,67,6.17010210704264e-06,0.245927495326894,0.910525343521362,0.662965008890895,0.163419939208774,0.0298660704298435,72148.500858209,2.796875,2.90625,3.890625,3.890625,3.09375,3.78125,3.109375,3.25,3.953125,0,1,0,0,5,17
"Selous G.R",41481.3084524387,1399,10,5311,0.127058802834268,0.685986986992725,1000,"Selous GR","Selous Game Reserve","Tanzania",-8.86,37.41,"",72,72,4.73473482127535e-05,0.245927495326894,0.886116277618005,0.679191742002514,0.170898276763292,0.033181810059628,88404.0044097222,2.72857142857143,2.82857142857143,3.9,3.85714285714286,3.01428571428571,3.8,3.18571428571429,3.17142857142857,3.95714285714286,0,1,0,0,5,17
"Arusha National Park",111.854715426011,925,7,36,0.152215543204143,0.715266949839014,1000,"Arusha","Arusha National Park","Tanzania",-3.25,36.83,"",39,39,4.43588686779016e-05,0.245927495326894,0.984450942533619,0.666740676579692,0.192336078319511,0.0403303043451406,235896.751025641,2.84210526315789,3.02631578947368,3.81578947368421,3.89473684210526,2.76315789473684,3.68421052631579,2.86842105263158,3.07894736842105,3.92105263157895,0,1,0,0,5,15
"Lake Manyara National Park",108.309022363446,924,10,78,0.227333155842151,0.47641359250082,1000,"Lake Manyara","Lake Manyara National Park","Tanzania",-3.6033141,35.784354,"",42,42,7.08214090134269e-05,0.245927495326894,0.951264382302972,0.646690500485663,0.19102337516726,0.0401099480004628,221283.391428571,2.73170731707317,2.90243902439024,3.90243902439024,3.90243902439024,2.80487804878049,3.78048780487805,2.95121951219512,3.09756097560976,3.92682926829268,0,1,0,0,5,15
"Tarangire National Park",2621.66746052118,920,6,447,0.0787780440850822,0.38569726363608,1000,"Tarangire","Tarangire National Park","Tanzania",-4.15,36.1,"",53,53,1.08167174721627e-06,0.245927495326894,0.895221185102332,0.623461355714308,0.161859977860888,0.029475967080413,181975.211132075,2.96,3.22,3.94,3.82,2.98,3.68,2.96,3.08,4,0,1,0,0,5,16
"Mahale Mts.National Park",1468.17431696778,7521,9,213,0.0977184422601275,0.741620761038862,1000,"Mahale Mountain NP","Mahale Mountain National Park","Tanzania",-6.2240708,29.9227042,"",55,55,4.97468953059235e-05,0.245927495326894,0.951638262837626,0.663899584004106,0.180260906036008,0.0367400579752669,192975.041454545,2.7843137254902,2.90196078431373,3.90196078431373,3.74509803921569,2.94117647058824,3.68627450980392,3.11764705882353,3.27450980392157,4,0,1,0,0,5,17
"Ruaha National Park",14567.7750982517,917,8,1980,0.118263920464764,0.40691895528621,1000,"Ruaha NP","Ruaha National Park","Tanzania",-7.5,35,"",51,51,5.7499790832693e-06,0.245927495326894,0.940003533649095,0.635931238754361,0.16650134961524,0.0325333013432218,211559.475098039,2.91836734693878,3.18367346938775,3.93877551020408,3.83673469387755,3.18367346938775,3.75510204081633,2.95918367346939,3.18367346938775,4,0,1,0,0,5,17
"Mikumi National Park",3232.56854937872,919,8,337,0.174947833691169,0.719252799406186,1000,"Mikumi NP","Mikumi National Park","Tanzania",-7.2,37.13,"",35,35,3.59475108206682e-07,0.245927495326894,0.969760383833563,0.625588609185261,0.164574981048494,0.0302634978992274,278806.303714286,2.82352941176471,3.32352941176471,4,3.79411764705882,3.23529411764706,3.67647058823529,2.85294117647059,2.94117647058824,4,0,1,0,0,4,15
"Gombe National Park",34.4662545296866,926,5,20,0.101520502077135,0.639011705518211,1000,"Gombe NP","Gombe National Park","Tanzania",-4.66,29.63,"",60,60,8.40694624829603e-05,0.245927495326894,0.949743233166099,0.659887765251621,0.18096855509851,0.0368785486774765,74458.6702916667,2.76785714285714,2.83928571428571,3.82142857142857,3.82142857142857,2.92857142857143,3.76785714285714,3.30357142857143,3.16071428571429,4,0,1,0,0,5,17
"Kilimanjaro National Park",1856.13932950592,922,11,186,0.244051612612278,0.659341758229643,1000,"Kilimanjaro","Kilimanjaro","Tanzania",-3.06,37.33,"",19,19,1.10913240535875e-07,0.245927495326894,0.94117928030144,0.639781004729806,0.187041754369365,0.0375311844093512,391772.693684211,3.05555555555556,3.5,4,3.94444444444444,2.22222222222222,3.27777777777778,2.66666666666667,3.33333333333333,3.83333333333333,0,1,0,0,3,10
"Ngorongoro Conservation Area",8286.85439403613,555623796,11,935,0.241045831595791,0.383972263082776,1000,"Ngorongoro","Ngorongoro Crater ","Tanzania",-3.1617522,35.5876697,"",42,42,6.97829842253659e-07,0.245927495326894,0.960929376884827,0.628101006318365,0.16918512944968,0.0319468495316156,241781.512619048,2.75,3.075,3.825,3.925,3.15,3.8,2.925,3.05,4,0,1,0,0,5,15
"Talassemtane National Park",614.05363113184,17742,5,212,NA,NA,1000,"Talassamtane NP","Talassamtane National Park","Morocco",35.18,-5.21,"",14,14,9.28784671309444e-08,0.245927495326894,0.991275814266713,0.67694558737299,0.158762431087945,0.0288972785820705,15705.7,2.57142857142857,2.71428571428571,3.71428571428571,3.78571428571429,2.64285714285714,3.57142857142857,3.66666666666667,3.58333333333333,4,0,1,0,0,3,9
"Rukwa",2196.82285233562,301552,6,460,0.103605272640979,0.524151238256814,1000,"Rukwa","Rukwa","Tanzania",-7.92,31.97,"",56,56,2.18731580589845e-05,0.245927495326894,0.924868109553709,0.651190162850225,0.164944598756478,0.0305609880535281,181563.919821429,2.88679245283019,3.24528301886792,3.88679245283019,3.75471698113208,3.07547169811321,3.71698113207547,3.20754716981132,2.9622641509434,4,0,1,0,0,5,17
"Gorongosa",3686.68853019709,801,10,642,0.164393782667452,0.655095387745871,1000,"Gorongosa NP","Gorongosa National Park","Mozambique",-18.83,34.51,"",53,53,1.77817106885058e-05,0.245927495326894,0.946404082608846,0.665260407217842,0.171020053072373,0.0327731807587129,136987.412971698,2.76470588235294,2.86274509803922,3.86274509803922,3.80392156862745,2.98039215686274,3.76470588235294,3.11764705882353,3.09803921568627,3.94117647058824,0,1,0,0,5,17
"Banhine",6066.47750031138,799,7,536,0.0936023529253264,0.464088174338774,1000,"BHINE","Banhine National Park","Mozambique",-22.826,32.864,"",54,54,1.00732891234667e-06,0.245927495326894,0.926908579625243,0.651709179675627,0.17066640162177,0.0328161985844715,171162.272361111,2.65384615384615,2.75,3.82692307692308,3.80769230769231,3.03846153846154,3.73076923076923,3.26923076923077,3.32692307692308,3.94230769230769,0,1,0,0,5,17
"Zinave",3901.5617671334,800,8,496,0.0782616129973895,0.59883284941175,1000,"Zinave","Zinave National Park","Mozambique",-21,33,"",62,62,6.33805438060753e-06,0.245927495326894,0.903879936417811,0.660969893215537,0.173464675856938,0.0337409724261931,161032.44625,2.86666666666667,2.93333333333333,3.86666666666667,3.81666666666667,3.03333333333333,3.7,3.25,3.06666666666667,3.95,0,1,0,0,5,17
"Niassa",42305.4109343714,555637447,11,6378,0.140156436877215,0.552267466260392,1000,"Niassa GR","Niassa Game Reserve","Mozambique",-12.24,36.98,"",55,55,1.02777451145523e-06,0.245927495326894,0.893452351406932,0.67792208039683,0.168619877753154,0.032564985421173,159622.573227273,2.69811320754717,2.83018867924528,3.86792452830189,3.88679245283019,3.11320754716981,3.73584905660377,3.24528301886792,3.24528301886792,3.94339622641509,0,1,0,0,5,17
"Lamto Scientific Reserve",28.4360885272384,555547526,2,5,0.0338026617987875,0.540860634449248,1000,"Lamto","Lamto","Cote dIvoire (Ivory Coast),",6.22,-5.03,"",64,64,0.000288344899711998,0.245927495326894,0.854084492777314,0.660282378708895,0.205319905544035,0.0457888591378668,122315.97609375,2.85,2.81666666666667,3.85,3.63333333333333,2.33333333333333,3.7,3.18333333333333,3.05,4,0,1,0,0,5,16
"Hluhluwe Game Reserve",144.029290305012,116189,6,51,0.0512336600298984,0.776518090624382,1000,"Hluhluwe","Hluhluwe-Imfolozi Game Reserve Complex","South Africa",-28.23543957,31.93588257,"2 entries, 555571105 and 116189",56,56,3.01124254205787e-05,0.245927495326894,0.939763438477112,0.64179215817989,0.171276697589871,0.0328622253309997,226720.955535714,2.7962962962963,2.94444444444444,3.87037037037037,3.7962962962963,3.09259259259259,3.72222222222222,3.2037037037037,3.07407407407407,3.94444444444444,0,1,0,0,5,16
